name,proc_id,njss_url,address,open_count,total_count,result_count
国立病院機構 近畿グループ 大阪刀根山医療センター,865,https://www2.njss.info/organizations/proc/865,大阪府,2,1238,953
国立病院機構 九州グループ 長崎病院,869,https://www2.njss.info/organizations/proc/869,長崎県,2,660,511
国立病院機構 東海北陸グループ 石川病院,870,https://www2.njss.info/organizations/proc/870,石川県,2,666,575
国立病院機構 近畿グループ 姫路医療センター,872,https://www2.njss.info/organizations/proc/872,兵庫県,2,1270,938
国立病院機構 東海北陸グループ 長良医療センター,874,https://www2.njss.info/organizations/proc/874,岐阜県,2,1354,1137
国立病院機構 東海北陸グループ 静岡てんかん・神経医療センター,877,https://www2.njss.info/organizations/proc/877,静岡県,2,834,704
国立病院機構 近畿グループ 兵庫中央病院,879,https://www2.njss.info/organizations/proc/879,兵庫県,2,1067,744
国立病院機構 九州グループ 南九州病院,890,https://www2.njss.info/organizations/proc/890,鹿児島県,2,927,683
国立病院機構 九州グループ 菊池病院,892,https://www2.njss.info/organizations/proc/892,熊本県,2,521,352
国立病院機構 九州グループ 指宿医療センター,893,https://www2.njss.info/organizations/proc/893,鹿児島県,2,843,578
国立病院機構 九州グループ 西別府病院,900,https://www2.njss.info/organizations/proc/900,大分県,2,839,629
国立病院機構 中国四国グループ とくしま医療センター東病院,905,https://www2.njss.info/organizations/proc/905,徳島県,2,743,614
国立文化財機構(NICH) 東京文化財研究所,1099,https://www2.njss.info/organizations/proc/1099,東京都,2,249,62
家畜改良センター(NLBC) 茨城牧場,1437,https://www2.njss.info/organizations/proc/1437,茨城県,2,350,305
労働者健康安全機構 大阪ろうさい病院,1478,https://www2.njss.info/organizations/proc/1478,大阪府,2,2067,1342
労働者健康安全機構 岡山労災病院,1482,https://www2.njss.info/organizations/proc/1482,岡山県,2,1090,791
労働者健康安全機構 香川労災病院,1485,https://www2.njss.info/organizations/proc/1485,香川県,2,1723,1012
労働者健康安全機構 九州労災病院,1487,https://www2.njss.info/organizations/proc/1487,福岡県,2,1358,913
高齢・障害・求職者雇用支援機構 愛知支部,4432,https://www2.njss.info/organizations/proc/4432,愛知県,2,1724,672
日本貿易保険(NEXI),5649,https://www2.njss.info/organizations/proc/5649,東京都,2,632,603
