name,proc_id,njss_url,address,categories,open_count,total_count,result_count
乙訓環境衛生組合,8594,https://www2.njss.info/organizations/proc/8594,京都府,地方公共団体|市役所関連団体,0,281,245
相楽中部消防組合,8596,https://www2.njss.info/organizations/proc/8596,京都府,地方公共団体|市役所関連団体,0,67,59
乙訓福祉施設事務組合,8598,https://www2.njss.info/organizations/proc/8598,京都府,地方公共団体|市役所関連団体,0,5,4
相楽郡広域事務組合,8600,https://www2.njss.info/organizations/proc/8600,京都府,地方公共団体|市役所関連団体,0,8,4
宮津与謝環境組合,8602,https://www2.njss.info/organizations/proc/8602,京都府,地方公共団体|市役所関連団体,0,9,9
豊中市伊丹市クリーンランド,8606,https://www2.njss.info/organizations/proc/8606,大阪府,地方公共団体|市役所関連団体,0,64,63
泉北環境整備施設組合,8608,https://www2.njss.info/organizations/proc/8608,大阪府,地方公共団体|市役所関連団体,0,367,358
枚方京田辺環境施設組合,8612,https://www2.njss.info/organizations/proc/8612,大阪府,地方公共団体|市役所関連団体,0,6,5
中播北部行政事務組合,8614,https://www2.njss.info/organizations/proc/8614,兵庫県,地方公共団体|市役所関連団体,0,7,7
北但行政事務組合,8616,https://www2.njss.info/organizations/proc/8616,兵庫県,地方公共団体|市役所関連団体,0,120,116
宇陀衛生一部事務組合,8620,https://www2.njss.info/organizations/proc/8620,奈良県,地方公共団体|市役所関連団体,0,0,0
吉野広域行政組合,8624,https://www2.njss.info/organizations/proc/8624,奈良県,地方公共団体|市役所関連団体,0,1,0
まほろば環境衛生組合,8626,https://www2.njss.info/organizations/proc/8626,奈良県,地方公共団体|市役所関連団体,0,13,11
公立那賀病院経営事務組合,8628,https://www2.njss.info/organizations/proc/8628,和歌山県,地方公共団体|市役所関連団体,0,8,8
御坊日高老人福祉施設事務組合,8630,https://www2.njss.info/organizations/proc/8630,和歌山県,地方公共団体|市役所関連団体,0,1,0
御坊広域行政事務組合,8632,https://www2.njss.info/organizations/proc/8632,和歌山県,地方公共団体|市役所関連団体,0,0,0
海南海草老人福祉施設事務組合,8634,https://www2.njss.info/organizations/proc/8634,和歌山県,地方公共団体|市役所関連団体,0,26,26
有田周辺広域圏事務組合,8636,https://www2.njss.info/organizations/proc/8636,和歌山県,地方公共団体|市役所関連団体,0,12,10
田辺市周辺衛生施設組合,8638,https://www2.njss.info/organizations/proc/8638,和歌山県,地方公共団体|市役所関連団体,0,1,1
紀の海広域施設組合,8640,https://www2.njss.info/organizations/proc/8640,和歌山県,地方公共団体|市役所関連団体,0,0,0
備南衛生施設組合,8642,https://www2.njss.info/organizations/proc/8642,岡山県,地方公共団体|市役所関連団体,0,49,47
津山圏域資源循環施設組合,8644,https://www2.njss.info/organizations/proc/8644,岡山県,地方公共団体|市役所関連団体,0,10,9
安芸地区衛生施設管理組合,8648,https://www2.njss.info/organizations/proc/8648,広島県,地方公共団体|市役所関連団体,0,0,0
岩国地区消防組合,8650,https://www2.njss.info/organizations/proc/8650,山口県,地方公共団体|市役所関連団体,0,0,0
萩・長門清掃一部事務組合,8652,https://www2.njss.info/organizations/proc/8652,山口県,地方公共団体|市役所関連団体,0,4,4
吉野川環境整備組合,8654,https://www2.njss.info/organizations/proc/8654,徳島県,地方公共団体|市役所関連団体,0,16,14
