name,njss_count,top_url,domain,platform_n,bid_url,sample_url,fetched_at
広島市役所,136,https://ppi.keiyaku.city.hiroshima.lg.jp/,ppi.keiyaku.city.hiroshima.lg.jp,0,https://ppi.keiyaku.city.hiroshima.lg.jp/PPI_P/,https://www2.njss.info/organizations/proc/1710,2026-07-09
新潟市役所,135,https://www.city.niigata.lg.jp/,www.city.niigata.lg.jp,0,https://www.city.niigata.lg.jp/business/keiyaku/nyusatsu/nyusatsu/nyusatsukokoku.html,https://www2.njss.info/organizations/proc/1673,2026-07-09
川崎市役所,133,https://www.city.kawasaki.jp/,www.city.kawasaki.jp,0,https://www.city.kawasaki.jp/233300/index.html,https://www2.njss.info/organizations/proc/1654,2026-07-09
堺市役所,132,https://sakai.efftis.jp/,sakai.efftis.jp,0,https://sakai.efftis.jp/ebid01/PPI/Public/PPUBC00100,https://www2.njss.info/organizations/proc/1708,2026-07-09
洲本市役所,129,https://www.city.sumoto.lg.jp/,www.city.sumoto.lg.jp,0,https://www.city.sumoto.lg.jp/soshiki/3/5138.html,https://www2.njss.info/organizations/proc/5592,2026-07-09
豊田市役所,128,https://www.city.toyota.aichi.jp/,www.city.toyota.aichi.jp,0,https://www.city.toyota.aichi.jp/shisei/keiyaku/index.html,https://www2.njss.info/organizations/proc/1729,2026-07-09
川口市役所,127,https://www.pref.saitama.lg.jp/,www.pref.saitama.lg.jp,0,https://www.pref.saitama.lg.jp/a0212/densinyusatsu/index.html,https://www2.njss.info/organizations/proc/1781,2026-07-09
量子科学技術研究開発機構(QST),126,https://www.qst.go.jp/,www.qst.go.jp,0,https://www.qst.go.jp/site/procurement/,https://www2.njss.info/organizations/proc/231,2026-07-09
太宰府市役所,125,https://www.city.dazaifu.lg.jp/,www.city.dazaifu.lg.jp,0,https://www.city.dazaifu.lg.jp/soshiki/2/26797.html,https://www2.njss.info/organizations/proc/4848,2026-07-09
防衛省(MOD) 海上自衛隊 補給本部,124,https://www.mod.go.jp/,www.mod.go.jp,0,,https://www2.njss.info/organizations/proc/83,2026-07-09
金沢市役所,124,https://www4.city.kanazawa.lg.jp/,www4.city.kanazawa.lg.jp,0,https://www4.city.kanazawa.lg.jp/sangyo_business/nyusatsu_keiyaku/denshinyusatsu/11272.html,https://www2.njss.info/organizations/proc/1725,2026-07-09
国土交通省(MLIT) 北海道開発局 帯広開発建設部,122,https://koukan-jv.hkd.mlit.go.jp/,koukan-jv.hkd.mlit.go.jp,0,https://koukan-jv.hkd.mlit.go.jp/kohyo-service/INYU0100Action.action,https://www2.njss.info/organizations/proc/520,2026-07-09
千葉市役所,121,https://www.chiba-ep-bis.supercals.jp/,www.chiba-ep-bis.supercals.jp,0,https://www.chiba-ep-bis.supercals.jp/ebidPPIPublish/EjPPIj,https://www2.njss.info/organizations/proc/1656,2026-07-09
長崎県庁,121,https://www.doboku.pref.nagasaki.jp/,www.doboku.pref.nagasaki.jp,0,https://www.doboku.pref.nagasaki.jp/Zyouhoukoukai/Koukoku,https://www2.njss.info/organizations/proc/1701,2026-07-09
