ドメイン,プラットフォーム,機関数,NJSS案件数,例URL
www.city.ogaki.lg.jp,個別/不明,1,16,https://www.city.ogaki.lg.jp/cmsfiles/contents/0000070/70338/38.pdf
www.nyusatsu.pref.hyogo.jp,個別/不明,1,16,https://www.nyusatsu.pref.hyogo.jp/
www.town.urakawa.hokkaido.jp,個別/不明,1,16,https://www.town.urakawa.hokkaido.jp/assets/images/news/news_20260518_112315.pdf
www.city.otsu.lg.jp,個別/不明,1,15,https://www.city.otsu.lg.jp/material/files/group/8/2koukoku20260327.pdf
www.town.sango.nara.jp,個別/不明,1,15,https://www.town.sango.nara.jp/soshiki/4/3886.html
www.city.kusatsu.shiga.jp,個別/不明,1,15,https://www.city.kusatsu.shiga.jp/kurashi/sangyobusiness/nyusatsu/denshinyusatsu/denshinyusatsu.html
www.city.tome.miyagi.jp,個別/不明,1,15,https://www.city.tome.miyagi.jp/kaikei/shisejoho/nyusatsukeyaku/system/denshinyusatsu-potal/index.html
www.city.saikai.nagasaki.jp,個別/不明,1,15,https://www.city.saikai.nagasaki.jp/soshiki/somu/1_1/11210.html
www.city.konan.lg.jp,個別/不明,1,15,https://www.city.konan.lg.jp/_res/projects/default_project/_page_/001/004/525/r8.4..kekka.pdf
www.city.tochigi.lg.jp,個別/不明,1,15,https://www.city.tochigi.lg.jp/soshiki/11/24760.html
www.city.nagareyama.chiba.jp,個別/不明,1,15,https://www.city.nagareyama.chiba.jp/business/1005422/1005514/1006560/1054378.html
www.nyusatsu.e-hyogo.jp,個別/不明,4,15,https://www.nyusatsu.e-hyogo.jp/ebidPPIPublish/EjPPIj
www.city.funabashi.lg.jp,個別/不明,1,14,https://www.city.funabashi.lg.jp/jigyou/nyusatsu/001/p144950_d/fil/jisshiyouryou.pdf
www.tomiya-city.miyagi.jp,個別/不明,1,14,https://www.tomiya-city.miyagi.jp/uploads/pdf/43657b092c3d5039007309f7ac99b3cc7be7c048.pdf
www.city.takashima.lg.jp,個別/不明,1,14,https://www.city.takashima.lg.jp/soshiki/somubu/keiyakukensaka/1/1/1519.html
www.city.kaga.ishikawa.jp,個別/不明,1,14,https://www.city.kaga.ishikawa.jp/soshiki/somu/1/10/2188.html
www.dokyoi.pref.hokkaido.lg.jp,個別/不明,1,14,https://www.dokyoi.pref.hokkaido.lg.jp/fs/1/3/1/4/0/9/8/6/_/%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8%E8%B2%BC%E3%82%8A%E3%81%A4%E3%81%91%E7%94%A8(%E8%A6%8B%E7%A9%8D%E7%9B%AE%E9%8C%B2).pdf
www.sorachi.pref.hokkaido.lg.jp,個別/不明,1,14,https://www.sorachi.pref.hokkaido.lg.jp/fs/1/3/1/4/0/4/7/3/_/0518_%E8%A6%8B%E7%A9%8D%E7%9B%AE%E9%8C%B2.zip
www.city.ikoma.lg.jp,個別/不明,1,14,https://www.city.ikoma.lg.jp/cmsfiles/contents/0000041/41400/X1301.pdf
www.police.pref.hyogo.lg.jp,個別/不明,1,13,https://www.police.pref.hyogo.lg.jp/chotatu/open_data/2026/261/2613/2613203.pdf
www.city.minamata.lg.jp,個別/不明,1,13,https://www.city.minamata.lg.jp/kiji0034176/3_4176_up_6kpgz6uj.pdf
www.e-nyusatsu.pref.osaka.jp,個別/不明,1,13,https://www.e-nyusatsu.pref.osaka.jp/CALS/Publish/EbController?Shori=SmallKokokuInfo
www.city.wakayama.wakayama.jp,個別/不明,1,13,https://www.city.wakayama.wakayama.jp/_res/projects/default_project/_page_/001/067/435/83ponpusha/83-1ponpu-kokoku.pdf
www.daisen.jp,個別/不明,1,13,https://www.daisen.jp/10/34/1/2/e146/c839/
www.city.yamagata-yamagata.lg.jp,個別/不明,1,13,https://www.city.yamagata-yamagata.lg.jp/jigyosya/nyusatsu/1006743/1015196/1002519.html
utsunomiya.jcho.go.jp,個別/不明,1,13,https://utsunomiya.jcho.go.jp/wp-content/uploads/2026/05/%E9%9A%8F%E6%84%8F%E5%A5%91%E7%B4%84-2.pdf
www.city.chikushino.fukuoka.jp,個別/不明,1,13,https://www.city.chikushino.fukuoka.jp/soshiki/6/51205.html
www.kyoto-u.ac.jp,個別/不明,1,13,https://www.kyoto-u.ac.jp/sites/default/files/inline-files/kohyo-2603-20260515-85f5757880229f3f8e3d51f6e51b3b90.pdf
www.city.makurazaki.lg.jp,個別/不明,1,13,https://www.city.makurazaki.lg.jp/uploaded/attachment/21929.pdf
www.e-okayama.t-elbs.jp,個別/不明,3,13,https://www.e-okayama.t-elbs.jp/dantai-select.html
www.city.shizuoka.lg.jp,個別/不明,1,12,https://www.city.shizuoka.lg.jp/documents/55638/jisshiyouryou.pdf
www.city.takeo.lg.jp,個別/不明,1,12,https://www.city.takeo.lg.jp/E_nyusatsu/index.html
www.city.fuji.shizuoka.jp,個別/不明,1,12,https://www.city.fuji.shizuoka.jp/documents/16431/koukoku78.pdf
www.town.setana.lg.jp,個別/不明,1,12,https://www.town.setana.lg.jp/742c7894db2955f716c1ed7e9b4c9aa6.pdf
www.city.maibara.lg.jp,個別/不明,1,12,https://www.city.maibara.lg.jp/sangyo/nyusatu/denshi/5727.html
www.jswa.go.jp,個別/不明,1,12,https://www.jswa.go.jp/bid/nyusatsu/control/top.php
www.town.kawagoe.mie.jp,個別/不明,1,12,https://www.town.kawagoe.mie.jp/_res/projects/default_project/_page_/001/004/066/ekimaehiroba0424.pdf
www.naro.go.jp,個別/不明,1,12,https://www.naro.go.jp/supply/estimate/0501/175922.html
www.city.kushiro.lg.jp,個別/不明,1,11,https://www.city.kushiro.lg.jp/sangyou/nyuusatsu/1006670/1008393/1018810.html
www.city.niigata.lg.jp,個別/不明,1,11,https://www.city.niigata.lg.jp/business/keiyaku/nyusatsu/nyusatsu/nyusatsukokoku.html
www.city.aizuwakamatsu.fukushima.jp,個別/不明,1,11,https://www.city.aizuwakamatsu.fukushima.jp/docs/2015013000105/
www.town.hisayama.fukuoka.jp,個別/不明,1,11,https://www.town.hisayama.fukuoka.jp/soshiki/somu/gyomu/nyusatsu_keiyaku/nyusatsu/3858.html
www.city.nagaokakyo.lg.jp,個別/不明,1,11,https://www.city.nagaokakyo.lg.jp/html/keiyaku/2026/koukoku/siyou/30010.html
www.bureau.tohoku.ac.jp,個別/不明,1,11,https://www.bureau.tohoku.ac.jp/keiyaku/kouhyou/publication/202603z.pdf
www.police.pref.nagasaki.jp,個別/不明,1,11,https://www.police.pref.nagasaki.jp/police/wp-content/uploads/2026/05/8351139d879fdd1bed621545a3ccb0f1-2.pdf
company.jra.jp,個別/不明,1,11,https://company.jra.jp/7406/etc/etc02/chotatsu_g/koubo/08/0805/kobo-skikaku-0525.pdf
www.maff.go.jp,個別/不明,3,11,https://www.maff.go.jp/kinki/soumu/kaikei/order/attach/pdf/open_counter-6229.pdf
